"Município","Unidade Gestora","Mês","Descrição","Valor Ajustado","Valor Estornado","Tipo","Categoria","Fonte","Subfonte","Alínea","Subalínea","Fonte de Recurso","CO"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","511.15","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","551.14","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","17.68","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","1282.95","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","857.94","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","75.47","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","2437.4","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","931.13","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","31.43","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","3060.39","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","1308.42","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","19.01","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","3053.2","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","1095.16","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","9.75","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","07 - Julho","13210101 - Remuneração de Depósitos Bancários - Principal","3014.81","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","07 - Julho","13210101 - Remuneração de Depósitos Bancários - Principal","1106.58","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","07 - Julho","13210101 - Remuneração de Depósitos Bancários - Principal","10.04","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","08 - Agosto","13210101 - Remuneração de Depósitos Bancários - Principal","3147.66","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","08 - Agosto","13210101 - Remuneração de Depósitos Bancários - Principal","1187.32","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","08 - Agosto","13210101 - Remuneração de Depósitos Bancários - Principal","11.53","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","09 - Setembro","13210101 - Remuneração de Depósitos Bancários - Principal","2807.28","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","09 - Setembro","13210101 - Remuneração de Depósitos Bancários - Principal","996.55","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","09 - Setembro","13210101 - Remuneração de Depósitos Bancários - Principal","3.7","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","10 - Outubro","13210101 - Remuneração de Depósitos Bancários - Principal","2698.34","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","10 - Outubro","13210101 - Remuneração de Depósitos Bancários - Principal","772.72","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","10 - Outubro","13210101 - Remuneração de Depósitos Bancários - Principal","0.22","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","11 - Novembro","13210101 - Remuneração de Depósitos Bancários - Principal","2725.28","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","11 - Novembro","13210101 - Remuneração de Depósitos Bancários - Principal","701.41","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","11 - Novembro","13210101 - Remuneração de Depósitos Bancários - Principal","0.22","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","12 - Dezembro","13210101 - Remuneração de Depósitos Bancários - Principal","2969.72","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","12 - Dezembro","13210101 - Remuneração de Depósitos Bancários - Principal","865.27","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
